InputID,TargetID,Distance
POINT (-73.940202 40.750582),POINT (-73.940202 40.750582),0
POINT (-73.947408 40.703869),POINT (-73.950308 40.706092),347.854194799142
POINT (-74.109704 40.578965),POINT (-74.103338 40.583591),744.570216916698
POINT (-73.807969 40.700486),POINT (-73.810708 40.70546),598.896001333595
POINT (-73.930997 40.744587),POINT (-73.924016 40.743781),596.367686593782
POINT (-73.958161 40.800603),POINT (-73.954882 40.805085),569.468552328163
POINT (-73.831008 40.714441),POINT (-73.837324 40.718331),686.591627507516
POINT (-73.985001 40.688484),POINT (-73.985065 40.690545),228.933673060224
POINT (-73.94077 40.814229),POINT (-73.936245 40.820421),786.490980041467
POINT (-73.985026 40.61741),POINT (-73.990414 40.620671),582.23392735534
POINT (-73.93418 40.859022),POINT (-73.929412 40.855225),582.597218078812
POINT (-73.966839 40.688089),POINT (-73.965838 40.683263),542.556092587962
POINT (-73.907657 40.808719),POINT (-73.904098 40.812118),482.340179087333
POINT (-73.916559 40.68637),POINT (-73.92227 40.68963),603.41339401855
POINT (-73.97823 40.592721),POINT (-73.979137 40.597473),533.246957683576
POINT (-73.916327 40.661453),POINT (-73.92261 40.664717),643.164226264193
POINT (-74.151399 40.551231),POINT (-74.16457 40.544601),1336.70455113938
POINT (-73.989998 40.693219),POINT (-73.990151 40.692404),91.423385727189
POINT (-73.90774 40.702762),POINT (-73.911586 40.699814),461.326683932859
POINT (-73.835592 40.580903),POINT (-73.827559 40.583209),726.719386246291
POINT (-73.93985 40.707739),POINT (-73.94067 40.711926),470.094197896337
POINT (-73.91844 40.833771),POINT (-73.9214 40.835537),317.477807574338
POINT (-73.884079 40.666235),POINT (-73.889395 40.665449),457.909469095108
POINT (-74.217847 40.52241),POINT (-74.229141 40.519631),1005.58904064973
POINT (-73.838591 40.878663),POINT (-73.846384 40.869526),1208.76089761388
POINT (-73.949046 40.694568),POINT (-73.950234 40.700377),652.845851579206
POINT (-73.887734 40.837288),POINT (-73.880049 40.840295),729.115698302297
POINT (-73.946 40.747846),POINT (-73.945264 40.747023),110.528364043883
POINT (-73.901034 40.862803),POINT (-73.897749 40.861296),323.59545261449
POINT (-73.972143 40.781433),POINT (-73.968916 40.785868),562.812641287667
POINT (-74.073643 40.643748),POINT (-74.074835 40.636949),761.711680504782
POINT (-73.890358 40.67271),POINT (-73.891688 40.678024),600.725212730857
POINT (-73.94489 40.834041),POINT (-73.941514 40.830518),483.890356248857
POINT (-73.836322 40.843863),POINT (-73.832569 40.84681),455.27314606972
POINT (-73.992872 40.665414),POINT (-73.989779 40.670272),599.5211062324
POINT (-73.957624 40.674772),POINT (-73.958131 40.670682),456.203075120059
POINT (-73.962793 40.635082),POINT (-73.961639 40.62927),652.746452221976
POINT (-73.92074 40.756879),POINT (-73.925508 40.76182),680.560075962784
POINT (-73.803326 40.707564),POINT (-73.801109 40.702147),630.049928435514
POINT (-73.867618 40.831509),POINT (-73.860816 40.833226),604.58946948895
POINT (-73.958372 40.815581),POINT (-73.952343 40.811109),710.902979588786
POINT (-73.986751 40.701397),POINT (-73.990531 40.699337),392.924696799868
POINT (-73.976127 40.625322),POINT (-73.976971 40.629755),497.422346398953
POINT (-73.995476 40.631435),POINT (-73.994791 40.63626),538.925731854608
POINT (-73.768175 40.595398),POINT (-73.776013 40.592943),717.304713614772
POINT (-73.95107 40.785672),POINT (-73.947152 40.784318),363.287742229561
POINT (-73.900741 40.856093),POINT (-73.903879 40.858407),368.836031831651
POINT (-73.947649 40.817894),POINT (-73.953676 40.822008),683.559880572339
POINT (-73.867615 40.857192),POINT (-73.860495 40.854364),677.528441227396
POINT (-73.981848 40.611815),POINT (-73.985026 40.61741),677.011674361932
POINT (-73.945495 40.807754),POINT (-73.949625 40.802098),718.3048635149
POINT (-73.994791 40.63626),POINT (-73.994304 40.640914),518.451773940916
POINT (-74.030876 40.616622),POINT (-74.028398 40.622687),705.382745592485
POINT (-73.951277 40.724635),POINT (-73.954449 40.731352),792.588058353192
POINT (-73.914685 40.844434),POINT (-73.910136 40.8459),416.740131688563
POINT (-73.939561 40.840719),POINT (-73.940133 40.840556),51.5252918182426
POINT (-73.801109 40.702147),POINT (-73.803326 40.707564),630.049928435514
POINT (-73.925536 40.860531),POINT (-73.927271 40.865491),569.906233813835
POINT (-74.014034 40.645069),POINT (-74.017881 40.641362),524.734755068483
POINT (-73.858992 40.679371),POINT (-73.86505 40.677044),573.658745746594
POINT (-73.911946 40.67834),POINT (-73.910456 40.682893),521.055470509209
POINT (-73.891338 40.746644),POINT (-73.891394 40.746848),23.1424372878098
POINT (-73.957734 40.60867),POINT (-73.959399 40.617618),1003.58384316455
POINT (-73.955589 40.779492),POINT (-73.951787 40.777891),366.903320053405
POINT (-73.917843 40.770258),POINT (-73.921479 40.766779),493.455268558841
POINT (-73.891865 40.829993),POINT (-73.893064 40.824073),665.153947450673
POINT (-73.878855 40.874811),POINT (-73.884655 40.87975),734.741936962707
POINT (-73.8627 40.749865),POINT (-73.869527 40.749145),582.077566687233
POINT (-73.9502 40.656652),POINT (-73.949575 40.650843),647.235363588468
POINT (-73.989779 40.670272),POINT (-73.988302 40.670847),140.261259840015
POINT (-73.975776 40.650782),POINT (-73.979678 40.644041),818.09555985363
POINT (-73.97425 40.58962),POINT (-73.97823 40.592721),481.760904444288
POINT (-73.857473 40.893193),POINT (-73.860341 40.888022),623.040724847641
POINT (-73.918425 40.703811),POINT (-73.922913 40.706607),490.157998489506
POINT (-73.899485 40.650573),POINT (-73.90185 40.646654),478.964100507668
POINT (-73.953581 40.742626),POINT (-73.949724 40.744065),362.84796400989
POINT (-73.937594 40.804138),POINT (-73.941617 40.798629),699.658361168108
POINT (-74.103338 40.583591),POINT (-74.109704 40.578965),744.570216916698
POINT (-73.825798 40.685951),POINT (-73.832163 40.684331),567.338032938384
POINT (-74.001736 40.607954),POINT (-73.998168 40.604556),483.290862502319
POINT (-73.988302 40.670847),POINT (-73.989779 40.670272),140.261259840015
POINT (-73.958131 40.670682),POINT (-73.959245 40.670343),101.435922127505
POINT (-73.962982 40.650527),POINT (-73.961495 40.655292),543.879953876731
POINT (-73.991777 40.6941),POINT (-73.989998 40.693219),179.392554798564
